coin_id,symbol,name,price_usd,market_cap,market_cap_rank,volume_24h,high_24h,low_24h,price_change_24h,pct_change_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,pct_change_7d,daily_return,volatility_score,market_dominance_pct,transform_timestamp
whitebit,wbt,WhiteBIT Coin,60.76,13024402389,13,86429631.0,61.49,60.51,-0.3857327780307287,-0.63088,-83053685.9994278,-0.63364,214372548.0,320872548.0,400000000.0,63.15,-3.60619,2025-12-04T03:12:02.334Z,3.06,1888.30907,2023-02-13T19:01:21.899Z,0,2025-12-09T13:58:59.592Z,-0.4844614768336763,-0.6308842198931476,4.936077800971133,-0.0063088,2.7834789004855667,0.40831992692372393,2025-12-09 14:16:56
wrapped-steth,wsteth,Wrapped stETH,3807.93,12812257714,14,36018912.0,3861.18,3772.16,-32.08544798388266,-0.83555,-44443760.65371704,-0.34569,3366066.480374854,3366066.480374854,0.0,7256.02,-47.46804,2022-05-13T15:09:54.509Z,558.54,582.44518,2022-05-13T01:36:45.053Z,0,2025-12-09T13:58:59.732Z,-0.6055886052329194,-0.8355548905216109,10.402347283730649,-0.0083555,5.618948641865324,0.4016691113541423,2025-12-09 14:16:56
bitcoin-cash,bch,Bitcoin Cash,581.63,11612004592,15,379071277.0,594.61,570.95,-12.377188449505413,-2.08368,-241646562.5787373,-2.03858,19964349.89665078,19964465.52165078,21000000.0,3785.82,-84.61444,2017-12-20T00:00:00.000Z,76.93,657.09536,2018-12-16T00:00:00.000Z,0,2025-12-09T13:59:02.047Z,0.2354671198333073,-2.08367765887595,9.519184641535734,-0.020836800000000003,5.8014323207678675,0.36404072331547704,2025-12-09 14:16:56
wrapped-bitcoin,wbtc,Wrapped Bitcoin,90218.0,11272595780,16,182556271.0,91423.0,89377.0,-1156.2624152587669,-1.26542,-145107622.7919407,-1.2709,124963.48883569,124963.48883569,124963.48883569,125932.0,-28.32957,2025-10-06T18:55:19.650Z,3139.17,2775.15106,2019-04-02T00:00:00.000Z,0,2025-12-09T13:58:59.997Z,-0.3364488750123341,-1.2654188715975214,3.3684338164556396,-0.012654199999999999,2.3169269082278197,0.35340012905449547,2025-12-09 14:16:56
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3383.14,11043356050,17,8503113.0,3435.02,3349.16,-29.1451702503864,-0.85412,-98175735.51643752,-0.88117,3264465.819136715,3264465.819136715,0.0,5330.78,-36.60551,2025-08-24T19:27:46.809Z,1501.6,125.05453,2025-04-09T03:57:40.245Z,0,2025-12-09T13:58:59.572Z,-0.6043400738758068,-0.8541247644312432,10.377300651238038,-0.0085412,5.615710325619019,0.34621337706342764,2025-12-09 14:16:56
usds,usds,USDS,0.999878,9554931331,18,7384836.0,1.0,0.998658,0.00032618,0.03263,71133143.0,0.75005,9556090422.39645,9556090422.39645,0.0,1.057,-5.4324,2024-10-29T05:40:51.197Z,0.948265,5.44352,2024-10-03T13:19:28.826Z,0,2025-12-09T13:58:58.997Z,-0.0128070784022892,0.0326324228498105,0.0103004316563555,0.0003263,0.02146521582817775,0.29955070077765544,2025-12-09 14:16:56
chainlink,link,Chainlink,13.69,9541770598,19,530565984.0,14.01,13.6,-0.2642225554245261,-1.89304,-177395991.6180439,-1.82522,696849970.4525868,1000000000.0,1000000000.0,52.7,-73.87291,2021-05-10T00:13:57.214Z,0.148183,9191.26219,2017-11-29T00:00:00.000Z,0,2025-12-09T13:59:02.297Z,-0.8648517215904032,-1.8930441719568456,12.00240301854802,-0.0189304,6.947721509274009,0.29913810683466113,2025-12-09 14:16:56
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,8982223483,20,1006564652.0,1.001,0.998191,-0.0004457229648233,-0.04455,-3042658.9190368652,-0.03386,8984992892.453934,8984992892.453934,0.0,1.05,-4.90867,2024-08-05T14:21:42.527Z,0.942186,5.96868,2024-12-05T22:30:39.827Z,0,2025-12-09T13:59:01.870Z,-0.0371883935542701,-0.0445517944752184,0.017903410332214,-0.0004455,0.031226705166107,0.28159609375157774,2025-12-09 14:16:56
leo-token,leo,LEO Token,9.56,8815975037,21,888314.0,9.75,9.4,-0.1698085964012055,-1.74481,-157514132.18514442,-1.75533,921949668.9,985239504.0,0.0,10.14,-5.69176,2025-03-10T09:26:43.294Z,0.799859,1094.99074,2019-12-24T15:14:35.376Z,0,2025-12-09T13:59:04.848Z,0.0617841804528998,-1.7448124952196995,-2.03787857959106,-0.0174481,1.89134428979553,0.27638414227046915,2025-12-09 14:16:56
weth,weth,WETH,3118.52,8406634192,22,104625008.0,3170.08,3085.9,-26.342940355995324,-0.83765,-250587456.88631916,-2.89455,2696094.983571818,2696094.983571818,0.0,4950.08,-36.94666,2025-08-24T19:28:11.411Z,82.1,3701.53387,2018-12-15T00:00:00.000Z,0,2025-12-09T13:59:00.155Z,-0.6113376537934448,-0.8376501514680884,10.327630552837086,-0.0083765,5.582640276418543,0.2635511524007414,2025-12-09 14:16:56
