id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,90393.0,1804222131810,1,1804222131810,44358536844.0,91535.0,89736.0,-1141.942858688024,-1.24755,-21339853467.75,-1.16895,19959750.0,19959790.0,21000000.0,126080.0,-28.2381,2025-10-06T18:57:42.558Z,67.81,133329.66064,2013-07-06T00:00:00.000Z,,2025-12-09T13:59:01.216Z,-0.2739014424330828,-1.2475496829274082,3.5306609442380523
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3116.34,375972075212,2,375972075212,22532704073.0,3163.18,3093.48,-28.610664393101615,-0.90973,-3969604838.982422,-1.04479,120695272.1387262,120695272.1387262,,4946.05,-36.88085,2025-08-24T19:21:03.333Z,0.432979,720929.1343,2015-10-20T00:00:00.000Z,"{'times': 45.10461716996337, 'currency': 'btc', 'percentage': 4510.461716996337}",2025-12-09T13:59:02.318Z,-0.6998900541856038,-0.9097322247524171,10.301269338699814
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,185730968620,3,191198204149,72011951914.0,1.0,0.999896,8.023e-05,0.00802,90536466.0,0.04877,185720807124.9028,191187743536.0062,,1.32,-24.41648,2018-07-24T00:00:00.000Z,0.572521,74.67341,2015-03-02T00:00:00.000Z,,2025-12-09T13:58:59.094Z,0.003807000966023053,0.008022800071565564,0.0037561252442612943
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.07,124715276157,4,206686769074,2599771340.0,2.1,2.05,-0.030153044313466104,-1.43729,-1903106360.2395325,-1.50303,60331635327.0,99985752852.0,100000000000.0,3.65,-43.12575,2025-07-18T03:40:53.808Z,0.00268621,77103.66562,2014-05-22T00:00:00.000Z,,2025-12-09T13:58:57.818Z,-0.7591975656110884,-1.4372890422172053,1.654973089537909
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,883.7,121701811598,5,121701811598,1447330797.0,911.32,882.45,-26.50481008867837,-2.91198,-3657599037.3732758,-2.91769,137735785.07,137735777.04,200000000.0,1369.99,-35.34463,2025-10-13T08:41:24.131Z,0.0398177,2224471.46592,2017-10-19T00:00:00.000Z,,2025-12-09T13:59:05.099Z,-0.5584094251257613,-2.9119756402488917,4.785769666686704
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999806,78214367324,6,78268818783,4681774837.0,0.999937,0.999689,-2.122579643382e-06,-0.00021,-5001412.40788269,-0.00639,78225636632.71701,78280095937.41492,,1.17,-14.73866,2019-05-08T00:40:28.300Z,0.877647,13.92568,2023-03-11T08:02:13.981Z,,2025-12-09T13:58:59.504Z,0.0004900362574066556,-0.00021229865301058244,0.0003540452264357449
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,132.33,74298178181,7,81483745598,4450453098.0,138.88,132.2,-6.542203055883306,-4.71079,-3502016672.655136,-4.5013,561461168.6082951,615761518.6024543,,293.31,-54.74548,2025-01-19T11:15:27.957Z,0.500801,26404.91123,2020-05-11T19:35:23.449Z,,2025-12-09T13:58:58.119Z,-0.6668797918426778,-4.710787418139858,3.1265544221511545
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3114.58,27175671939,8,27175671939,26092758.0,3159.45,3094.37,-28.606086959930508,-0.9101,-184896526.42697144,-0.67578,8728804.469209157,8728804.469209157,,4932.89,-36.7294,2025-08-24T19:21:31.902Z,482.9,546.32339,2020-12-22T04:08:21.854Z,,2025-12-09T13:58:57.964Z,-0.735223662696266,-0.9100981396844087,10.214249414653619
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.280733,26579100736,9,26579157098,555147800.0,0.285658,0.280286,-0.004924900419816691,-1.72406,-464581904.03030777,-1.71789,94681657546.30638,94681858324.58418,,0.431288,-34.93347,2024-12-04T00:10:40.323Z,0.00180434,15452.72877,2017-11-12T00:00:00.000Z,"{'times': 146.7540035350534, 'currency': 'usd', 'percentage': 14675.400353505342}",2025-12-09T13:58:59.043Z,0.026654820143521576,-1.7240577603531217,1.0465144042268866
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.141641,22880547995,10,22884064940,1102348416.0,0.144268,0.139619,-0.002080035181884987,-1.44727,-378014642.61060715,-1.62527,161604132798.579,161630392798.579,,0.731578,-80.59126,2021-05-08T05:08:23.458Z,8.69e-05,163287.72073,2015-05-06T00:00:00.000Z,,2025-12-09T13:59:03.012Z,0.06883964759581743,-1.4472721909053479,3.3612923149355503
