id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,60.85,13039158377,13,19516995115,86586082.0,61.49,60.51,-0.15762870276427776,-0.25839,-68297698.81708908,-0.52106,214372548.0,320872548.0,400000000.0,63.15,-3.61351,2025-12-04T03:12:02.334Z,3.06,1888.15827,2023-02-13T19:01:21.899Z,,2025-12-09T14:06:29.239Z,-0.2666096596577793,-0.25839237452984976,4.842672138929167
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,3810.55,12822218711,14,12822218711,35650160.0,3861.18,3772.16,-32.93944161249965,-0.85702,-28497672.396116257,-0.22176,3364928.314313151,3364928.314313151,,7256.02,-47.5488,2022-05-13T15:09:54.509Z,558.54,581.39596,2022-05-13T01:36:45.053Z,,2025-12-09T14:06:29.888Z,-0.46537203491061285,-0.857020171330883,9.864617645456358
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,582.04,11620777885,15,11620845187,377644944.0,594.61,570.95,-11.966010380928651,-2.01446,-244000817.9818535,-2.05651,19964349.89665078,19964465.52165078,21000000.0,3785.82,-84.63255,2017-12-20T00:00:00.000Z,76.93,656.20397,2018-12-16T00:00:00.000Z,,2025-12-09T14:06:31.673Z,0.3063277155978081,-2.0144565624364437,9.927433167651502
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/WBTCLOGO.png?1764496367,90261.0,11269783614,16,11269783614,183754809.0,91423.0,89377.0,-1072.0628053430264,-1.17379,-139972660.13121605,-1.22678,124963.48883569,124963.48883569,124963.48883569,125932.0,-28.36057,2025-10-06T18:55:19.650Z,3139.17,2773.90729,2019-04-02T00:00:00.000Z,,2025-12-09T14:06:29.574Z,-0.16102159349918882,-1.173790836017713,3.5710014264146714
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,3384.27,11054331951,17,11054331951,8527212.0,3435.02,3349.16,-28.145533512119982,-0.8248,-85379026.12844849,-0.76644,3264465.819136715,3264465.819136715,,5330.78,-36.49706,2025-08-24T19:27:46.809Z,1501.6,125.43953,2025-04-09T03:57:40.245Z,,2025-12-09T14:06:29.626Z,-0.5711543887157162,-0.8247981329415822,10.024535255238781
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,1.0,9562479993,18,9562479993,7366031.0,1.0,0.998658,0.00124476,0.12462,72816081.0,0.76732,9563706895.726856,9563706895.726856,,1.057,-5.4324,2024-10-29T05:40:51.197Z,0.948265,5.44352,2024-10-03T13:19:28.826Z,,2025-12-09T14:06:28.851Z,0.005697991703133828,0.12461743164545284,0.03384124677927221
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,13.71,9553017088,19,13708857707,526283447.0,14.01,13.6,-0.2444538632241322,-1.75146,-158053104.72571564,-1.62756,696849970.4525868,1000000000.0,1000000000.0,52.7,-74.01519,2021-05-10T00:13:57.214Z,0.148183,9140.66507,2017-11-29T00:00:00.000Z,,2025-12-09T14:06:32.334Z,-0.685285843603615,-1.751457889573884,10.838686785362764
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,1.0,8975193076,20,8975193076,869117802.0,1.001,0.998191,-0.000385035806181655,-0.03849,-8250854.1901397705,-0.09185,8984992892.453934,8984992892.453934,,1.05,-4.90867,2024-08-05T14:21:42.527Z,0.942186,5.96868,2024-12-05T22:30:39.827Z,,2025-12-09T14:06:31.964Z,0.002241298350055759,-0.03848587005025175,0.01825614336564378
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.56,8816556509,21,9421793895,888524.0,9.75,9.4,-0.17538891305170878,-1.80127,-160590900.6089115,-1.78889,921949668.9,985239504.0,,10.14,-5.64707,2025-03-10T09:26:43.294Z,0.799859,1095.55698,2019-12-24T15:14:35.376Z,,2025-12-09T14:06:23.744Z,0.09229782505665393,-1.8012734504349746,1.0649784193601102
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3118.76,8396511906,22,8396511906,226451203.0,3170.08,3085.9,-26.33166347621409,-0.83723,-235124299.79364872,-2.72398,2694123.598588174,2694123.598588174,,4950.08,-37.01216,2025-08-24T19:28:11.411Z,82.1,3697.58475,2018-12-15T00:00:00.000Z,,2025-12-09T14:06:29.884Z,-0.5610880488641544,-0.8372299437938281,9.779065758476218
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3379.45,7987639058,23,7987639058,35911204.0,3421.77,3342.64,-29.52955313756047,-0.86623,-32688599.616811752,-0.40757,2366128.340872356,2366128.340872356,,5296.78,-36.19808,2025-08-24T19:25:19.771Z,1505.24,124.51296,2025-04-09T03:45:31.391Z,,2025-12-09T14:06:29.821Z,-0.472938205684298,-0.8662276294837882,10.445675105492406
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.242558,7843232500,24,12123522427,114739016.0,0.246182,0.237743,-0.00309925161151417,-1.26162,-92709175.16033459,-1.16822,32348324694.74639,50001786883.67145,,0.875563,-72.32302,2018-01-03T00:00:00.000Z,0.00047612,50796.3435,2015-03-05T00:00:00.000Z,,2025-12-09T14:06:28.107Z,0.03258208380636522,-1.2616180372212848,2.8028027782446934
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,27.98,7570120058,25,27952833543,401817710.0,30.32,27.55,-2.2719449772839724,-7.51072,-616914311.323905,-7.53526,270772999.4341414,999835210.4341414,1000000000.0,59.3,-52.98686,2025-09-18T03:30:30.650Z,3.81,632.01398,2024-11-29T09:30:30.871Z,,2025-12-09T14:06:23.045Z,-0.3183463015681593,-7.510721917846543,-12.184734072871835
zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,427.34,7038045965,26,7038467603,1353394421.0,435.7,386.22,41.06,10.62889,727067428.0,11.52068,16431304.8530448,16432289.2280448,21000000.0,3191.93,-86.59942,2016-10-29T00:00:00.000Z,16.08,2560.03425,2024-07-05T04:22:29.321Z,,2025-12-09T14:06:30.637Z,-1.306031367211853,10.628893805926989,28.78303106626386
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,361.26,6667671048,27,6667671048,130376229.0,377.88,360.87,-12.043330385949844,-3.22614,-219586865.3449087,-3.18831,18446744.07370955,18446744.07370955,,542.33,-33.48303,2018-01-09T00:00:00.000Z,0.216177,166772.0915,2015-01-14T00:00:00.000Z,,2025-12-09T14:06:24.997Z,-0.5791251922952297,-3.226140117403257,-7.39282519793103
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.999288,6631828989,28,6629738064,179356689.0,1.001,0.997179,0.00032392,0.03243,-58252862.56681538,-0.87073,6635484924.770918,6633392846.580917,,1.032,-3.17751,2023-12-20T15:38:34.596Z,0.929486,7.50969,2024-10-04T07:57:15.809Z,,2025-12-09T14:06:33.452Z,0.004279795381337374,0.03242586350773253,-0.012075739158314168
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,90413.0,6566317698,29,6566317698,433431647.0,91763.0,89535.0,-1069.4700497739832,-1.16904,-61732147.69161987,-0.93138,72678.25567241,72678.25567227,,125954.0,-28.25157,2025-10-06T18:58:50.734Z,57439.0,57.33256,2024-09-12T14:07:41.775Z,,2025-12-09T14:06:32.543Z,-4.9922012454400074e-05,-1.1690440565186824,3.140139370617646
